% Model,model2.mph
% Version,COMSOL 6.1.0.357
% Date,"Jul 4 2023, 21:07"
% Dimension,1
% Nodes,5427
% Expressions,1
% Description,Global
% Integration 1 (mm);Integration 1
24.300;10008
24.525;10024
24.750;10039
24.975;10054
25.200;10070
25.425;10084
25.650;10099
25.875;10113
26.100;10128
26.325;10142
26.550;10155
26.775;10169
27.000;10182
27.225;10195
27.450;10208
27.675;10220
27.900;10233
28.125;10245
28.350;10257
28.575;10269
28.800;10281
29.025;10292
29.250;10303
29.475;10314
29.700;10325
29.925;10336
30.150;10347
30.375;10357
30.600;10367
30.825;10377
31.050;10387
31.275;10397
31.500;10406
31.725;10416
31.950;10425
32.175;10434
32.400;10443
32.625;10452
32.850;10460
33.075;10469
33.300;10477
33.525;10485
33.750;10493
33.975;10501
34.200;10509
34.425;10517
34.650;10524
34.875;10532
35.100;10539
35.325;10546
35.550;10553
35.775;10560
36.000;10567
36.225;10573
36.450;10580
36.675;10586
36.900;10593
37.125;10599
37.350;10605
37.575;10611
37.800;10617
38.025;10623
38.250;10628
38.475;10634
38.700;10639
38.925;10645
39.150;10650
39.375;10655
39.600;10661
39.825;10666
40.050;10670
40.275;10675
40.500;10680
40.725;10685
40.950;10689
41.175;10694
41.400;10698
41.625;10703
41.850;10707
42.075;10711
42.300;10715
42.525;10719
42.750;10723
42.975;10727
43.200;10731
43.425;10735
43.650;10738
43.875;10742
44.100;10746
44.325;10749
44.550;10753
44.775;10756
45.000;10759
8.9918E-5;1.0327
0.22502;2584.4
0.45003;4808.4
0.67502;4912.1
0.90002;5005.8
1.1250;5094.4
1.3500;5178.5
1.5750;5259.4
1.8000;5337.7
2.0250;5413.4
2.2500;5487.2
2.4750;5559.1
2.7000;5629.4
2.9250;5698.0
3.1500;5765.3
3.3750;5831.4
3.6000;5896.2
3.8250;5959.9
4.0500;6022.4
4.2750;6083.9
4.5000;6144.3
4.7250;6203.7
4.9500;6262.1
5.1750;6319.6
5.4000;6376.3
5.6250;6432.0
5.8500;6487.0
6.0750;6541.1
6.3000;6594.3
6.5250;6646.8
6.7500;6698.5
6.9750;6749.4
7.2000;6799.5
7.4250;6849.0
